split,label,filename,mean_B,mean_G,mean_R,std_B,std_G,std_R,area,perimeter,roundness,bbox_aspect,infected_pct_leaf
train,Pepper__bell___Bacterial_spot,0022d6b7-d47c-4ee2-ae9a-392a53f48647___JR_B.Spot 8964_leaf.png,92.9472049689441,106.45341614906832,119.0926030491248,63.32290253241431,58.55963533324533,62.47174093201018,6363.5,1612.8052508831024,0.0307427033950136,1.3321792505841257,10.582448397922125
train,Pepper__bell___Bacterial_spot,00f2e69a-1e56-412d-8a79-fdce794a17e4___JR_B.Spot 3132_leaf.png,83.49576414774653,100.33344628939342,115.76550321924772,58.269160381161605,56.96889556855859,60.56350019739489,2481.5,1016.1635546684264,0.0301993026364162,1.1846757649527873,4.275381236850592
train,Pepper__bell___Bacterial_spot,01613cd0-d3cd-4e96-945c-a312002037bf___JR_B.Spot 3262_leaf.png,128.82153090462546,126.07040523945967,134.79942693409745,61.80318207472634,55.74866810256834,57.92774204898602,1926.5,1128.5554723739624,0.0190078525943553,1.3280210120399996,3.5962358884319796
train,Pepper__bell___Bacterial_spot,018e494e-d2eb-468b-9d02-40219d9f4921___JR_B.Spot 9045_leaf.png,96.24101702038244,115.650346711494,132.9035511662114,49.82410024495258,36.82534374285392,37.23971158493924,4092.0,1507.449913978577,0.0226287052931573,1.346110513873913,7.26165771484375
train,Pepper__bell___Bacterial_spot,01940b6d-7dea-4889-a7b8-a35f4e9bba34___NREC_B.Spot 9120_leaf.png,83.0,101.4193248683803,107.72065655001548,58.22925399178462,56.87872989584356,61.16394519710417,2604.5,1412.8052514791489,0.0163971973889236,1.0956227232979965,4.905343511450382
train,Pepper__bell___Bacterial_spot,01dfb88b-cd5a-420c-b163-51f5fe07b74d___JR_B.Spot 9091_leaf.png,78.27537212449256,98.52165087956698,113.57374830852504,60.70036060659657,53.185968788200704,57.21711489865525,8664.0,1745.5575585365295,0.0357322167515956,1.1253426370548218,13.309875315535837
train,Pepper__bell___Bacterial_spot,01ebc916-4793-40a3-b5e4-a32687e4fa3d___NREC_B.Spot 9125_leaf.png,43.386065422287935,59.838846793568656,65.11975605248568,45.03788526040095,51.84472693923112,59.04142239099553,4724.0,1589.5575578212738,0.0234945556849426,1.233390456682567,8.14912267282657
train,Pepper__bell___Bacterial_spot,024623ab-be81-4d99-a653-c3be1495ce8e___JR_B.Spot 8889_leaf.png,108.85140664961637,123.1450127877238,137.44782608695652,60.53527784482563,49.458745054236765,47.6054942575896,3345.5,1273.0651360750198,0.0259399807013932,1.0925841811401822,5.974765725485392
train,Pepper__bell___Bacterial_spot,02baf62e-11e2-4dde-97fb-e369b57d55d3___JR_B.Spot 8971_leaf.png,143.3194094346417,151.7256031688873,159.0687792581923,64.93045414953316,57.36367224046335,61.84405406427263,2169.5,1307.5016508102417,0.0159472215118666,1.0635037713186564,4.22275127430333
train,Pepper__bell___Bacterial_spot,032aa7c4-0a95-4f09-b0bb-1242f4f32d82___NREC_B.Spot 1889_leaf.png,58.11568488289567,75.06742370475514,83.9957416607523,62.98591178990537,64.20833392414447,65.47724006830434,955.0,1024.3128304481506,0.0114379451672905,1.0313253252122343,2.146007906344918
